Tháng,Năm,Ngành hàng,KV,Số IB,Tên Khách hàng,Tên gói thầu,Ngày  mở thầu,Ngày phê duyệt thầu,Thời hạn thầu,Công ty trúng thầu,Hãng SX,Tên mặt hàng dự thầu,Phân nhóm lớn sản phẩm trúng thầu,Phân nhóm nhỏ sản phẩm trúng thầu,Nhập khẩu/ Việt Nam,Dung tích, Số lượng trúng thầu ,  Đơn giá trúng thầu  ,  Giá trị trúng thầu  ,Cấu hình trúng thầu,Sale
1,2025,KSNK,MN,"
IB2400488226",Bệnh viện Đa khoa tỉnh Bình Định,Gói thầu thuốc Generic,45618,45637,12 tháng,"CÔNG TY CỔ PHẦN DƯỢC PHẨM TV,PHARM", ,Povidon iodin 10%,Sát khuẩn da,Sát khuẩn da,Việt Nam,250,19248,36000,543984000, ,46644cba-3b96-45fd-be96-c54540c7ddee
1,2025,KSNK,MN,"
IB2400488226",Bệnh viện Đa khoa tỉnh Bình Định,Gói thầu thuốc Generic,45637,45312,12 tháng,"CÔNG TY CỔ PHẦN DƯỢC PHẨM TV,PHARM", ,Povidon Iodin 10%,Sát khuẩn da,Sát khuẩn da,Việt Nam,250,19248,36000,692928000,"1 Thành phần: 52,5% Acid Phosphoric
2 Làm mới dụng cụ và trang thiết bị y tế có chất liệu thép không rỉ Loại bỏ cặn sắt oxide và các vết oxy hóa khác
Nồng độ pha loãng từ 3% - 5% trong nước ấm
Thời gian ngâm: 1 giờ
Chai 1 lít
3 ISO 13485",46644cba-3b96-45fd-be96-c54540c7ddee
1,2025,KSNK,MN,IB2400248172,Bệnh viện Bệnh Nhiệt đới,"Mua hóa chất khử khuẩn, vật tư xét nghiệm và vật tư y tế năm 2024 (Gói 02)",45531,45680,12 tháng,CÔNG TY TNHH SG PHARMA,Sg Pharma,Greenazymes,Xử lý dụng cụ,Làm sạch và tiền KK,Việt Nam,5000,197,860000,169420000,"Dung dịch tẩy rửa dụng cụ nội khoa, ngoại khoa và các dụng cụ y tế khác bằng cách ngâm, bồn rửa siêu âm hoặc máy rửa dụng cụ chứa hỗn hợp 5 enzyme: Protease, Lipase, Amylase, Mannanase, Cellulase + chất hoạt động bề mặt",46644cba-3b96-45fd-be96-c54540c7ddee
1,2025,KSNK,MN,IB2400248172,Bệnh viện Bệnh Nhiệt đới,"Mua hóa chất khử khuẩn, vật tư xét nghiệm và vật tư y tế năm 2024 (Gói 02)",45531,1/23/2025,12 tháng,CÔNG TY TNHH VIỆT DƯỢC MEDIC,Medentech,Klorsept 25,Xử lý bề mặt,Viên khử khuẩn,Nhập khẩu,100,450,394400,177480000,Viên tẩy khử khuẩn tan nhanh trong nước chứa Na dichloroiscocyanurate 50% 25g,46644cba-3b96-45fd-be96-c54540c7ddee
1,2025,KSNK,MN,IB2400248172,Bệnh viện Bệnh Nhiệt đới,"Mua hóa chất khử khuẩn, vật tư xét nghiệm và vật tư y tế năm 2024 (Gói 02)",45531,1/23/2025,12 tháng,CÔNG TY TNHH THIẾT BỊ Y TẾ ĐỨC LỘC,Tân Hương,Tha Cleansurf,Xử lý bề mặt,Lau sàn,Việt Nam,5000,40,756000,30240000,"Dung dịch tẩy rửa, khử trùng sàn nhà và bề mặt chứa N-(3-aminopropyl)-N-dodecylopropane-1,3-diamine (51mg/g), didecyldimethylammonium chloride (25mg/g)",46644cba-3b96-45fd-be96-c54540c7ddee
1,2025,KSNK,MN,IB2400248172,Bệnh viện Bệnh Nhiệt đới,"Mua hóa chất khử khuẩn, vật tư xét nghiệm và vật tư y tế năm 2024 (Gói 02)",45531,1/23/2025,12 tháng,CÔNG TY TNHH SG PHARMA,Sg Pharma,Greenax Opa,Xử lý dụng cụ,KK mức độ cao,Việt Nam,5000,437,590000,257830000,"Dung dịch ngâm khử khuẩn mức độ cao, không gây ăn mòn dụng cụ chứa Ortho-phathaladehyde (OPA) 0,55% pH 72 - 78",46644cba-3b96-45fd-be96-c54540c7ddee
1,2025,KSNK,MN,IB2400248172,Bệnh viện Bệnh Nhiệt đới,"Mua hóa chất khử khuẩn, vật tư xét nghiệm và vật tư y tế năm 2024 (Gói 02)",45531,45680,12 tháng,CÔNG TY CỔ PHẦN DỊCH VỤ VÀ THIẾT BỊ Y TẾ AN SINH,An Sinh,Asi-Clean,Xử lý dụng cụ,Làm sạch và tiền KK,Việt Nam,5000,343,817005,280232715,"Dung dịch ngâm dụng cụ chứa Didecyledimethyl ammonium chloride, Chlorhexidine digluconate, chất hoạt động bề mặt",46644cba-3b96-45fd-be96-c54540c7ddee
1,2025,KSNK,MN,IB2400248172,Bệnh viện Bệnh Nhiệt đới,"Mua hóa chất khử khuẩn, vật tư xét nghiệm và vật tư y tế năm 2024 (Gói 02)",45531,45680,12 tháng,CÔNG TY TNHH THIẾT BỊ Y TẾ ĐỨC LỘC,Tân Hương,Tha Spray,Xử lý bề mặt,Phun tay,Việt Nam,750,490,89200,43708000,"Dung dịch vệ sinh và khử khuẩn bề mặt chứa didecyldimethylammonium chloride, Polyhexamethylene biguanide hydrochloride",46644cba-3b96-45fd-be96-c54540c7ddee
1,2025,KSNK,MN,IB2400248172,Bệnh viện Bệnh Nhiệt đới,"Mua hóa chất khử khuẩn, vật tư xét nghiệm và vật tư y tế năm 2024 (Gói 02)",45531,45680,12 tháng,CÔNG TY TNHH DƯỢC VÀ TRANG THIẾT BỊ Y TẾ Á ĐÔNG ,Lollipop,Cleanwel Clear,Xử lý bề mặt,Phun máy,Việt Nam,5000,245,966000,236670000,"Hóa chất phun sương 5% w/w Hydrogen Peroxide + 0,005 w/w Ion Bạc Active ingredient(s)",46644cba-3b96-45fd-be96-c54540c7ddee
1,2025,KSNK,MN,IB2400262718-00,Bệnh viện Bệnh Nhiệt đới,Gói thầu thuốc generic,45679,45674,12 tháng, , ,Povidone Iodine,Sát khuẩn da,Sát khuẩn da,Việt Nam, ,95,5400,513000, ,46644cba-3b96-45fd-be96-c54540c7ddee
1,2025,KSNK,MN,IB2400262718-00,Bệnh viện Bệnh Nhiệt đới,Gói thầu thuốc generic,45679,45674,12 tháng, , ,Povidone Iodine,Sát khuẩn da,Sát khuẩn da,Việt Nam, ,95,11235,1067325, ,46644cba-3b96-45fd-be96-c54540c7ddee
